"pptID","fileName","age","gender","nationality","firstLang","highestEdu","condition","videoCond","questionCond","trial","clipName","question","response","answer","RT","answerNum","variance","lowVariance"
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",40,"talk1Watch1Play","rightFriendly",4,"stronglyAgree",3102,4,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",41,"talk1Watch1Play","leftAggressive",0,"stronglyDisagree",3565,0,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",42,"talk1Watch1Play","rightAggressive",0,"stronglyDisagree",3565,0,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",43,"talk1Watch1Play","leftEngaged",4,"stronglyAgree",3659,4,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",44,"talk1Watch1Play","rightEngaged",3,"agree",3659,3,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",45,"talk1Watch1Play","leftFearful",0,"stronglyDisagree",3077,0,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",46,"talk1Watch1Play","rightFearful",0,"stronglyDisagree",3077,0,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",47,"talk1Watch1Play","leftSad",0,"stronglyDisagree",3381,0,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",48,"talk1Watch1Play","rightSad",0,"stronglyDisagree",3381,0,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",49,"talk1Watch1Play","leftContent",4,"stronglyAgree",3212,4,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",50,"talk1Watch1Play","rightContent",4,"stronglyAgree",3212,4,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",51,"talk1Watch1Play","leftAngry",0,"stronglyDisagree",2710,0,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",52,"talk1Watch1Play","rightAngry",0,"stronglyDisagree",2710,0,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",53,"talk1Watch1Play","leftAmused",4,"stronglyAgree",7934,4,3.2987012987013,0
